market_name,market_slug,market_url,market_listed_count,facility_name,operator,street_address,locality,detail_url
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Orange - Stockholm,Orange,Gårdsvägen 6,16970 Solna,https://www.datacentermap.com/sweden/stockholm/stockholm-2/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Orange STH2,Orange,Hemvärnsgatan 9,171 54 Solna,https://www.datacentermap.com/sweden/stockholm/orange-sth2/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Verizon Stockholm,Verizon Communications Inc.,Torshamnsgatan 27,16440 Kista,https://www.datacentermap.com/sweden/stockholm/verizon-stockholm/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,Teracom DC,Teracom,Mörka Kroken 28-30,115 27 Stockholm,https://www.datacentermap.com/sweden/stockholm/dc-kaknas/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,evroc Arlandastad,evroc AB,within,"Arlandastad, located north of Stockholm and near Stockholm Arlanda Airport 195 61 Arlandastad",https://www.datacentermap.com/sweden/stockholm/evroc-arlandastad/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,TeliaSonera LJHN2,Telia Company,Trekantsvägen 7,11743 Stockholm,https://www.datacentermap.com/sweden/stockholm/telia-stockholm/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,GlobalConnect Stockholm Järfälla,GlobalConnect,Elektronikhöjden 6,175 43 Järfälla,https://www.datacentermap.com/sweden/stockholm/ip-only-stockholm-jarfalla/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,GlobalConnect Stockholm Hammarby,GlobalConnect,Virkesv. 6,120 30 Stockholm,https://www.datacentermap.com/sweden/stockholm/availo-dch/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,TeliaSonera HDN/I,Telia Company,Rudsjöterrassen 5,13640 Handen,https://www.datacentermap.com/sweden/stockholm/telia-haninge/
Stockholm,stockholm,https://www.datacentermap.com/sweden/stockholm/,48,GlobalConnect Stockholm Gärdet,GlobalConnect,Sehlstedtsgatan 9,115 28 Stockholm,https://www.datacentermap.com/sweden/stockholm/ip-only-stockholm-gardet/
Sollefteå,solleftea,https://www.datacentermap.com/sweden/solleftea/,1,atNorth SWE04,atNorth,Hamre Industrial Park,882 91 Långsele,https://www.datacentermap.com/sweden/solleftea/atnorth-swe04/
